2025-03-06 10:47:59,718 INFO    MainThread:15924 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-06 10:47:59,719 INFO    MainThread:15924 [wandb_setup.py:_flush():67] Configure stats pid to 15924
2025-03-06 10:47:59,719 INFO    MainThread:15924 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Talmid\.config\wandb\settings
2025-03-06 10:47:59,719 INFO    MainThread:15924 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Talmid\Downloads\Breakout\Breakout (1)\Breakout\wandb\settings
2025-03-06 10:47:59,719 INFO    MainThread:15924 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-06 10:47:59,719 INFO    MainThread:15924 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Talmid\Downloads\Breakout\Breakout (1)\Breakout\wandb\run-20250306_104759-Breakout1\logs\debug.log
2025-03-06 10:47:59,721 INFO    MainThread:15924 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Talmid\Downloads\Breakout\Breakout (1)\Breakout\wandb\run-20250306_104759-Breakout1\logs\debug-internal.log
2025-03-06 10:47:59,721 INFO    MainThread:15924 [wandb_init.py:init():761] calling init triggers
2025-03-06 10:47:59,721 INFO    MainThread:15924 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'epochs': 200000, 'batch': 64, 'C': 5, '_wandb': {}}
2025-03-06 10:47:59,721 INFO    MainThread:15924 [wandb_init.py:init():784] starting backend
2025-03-06 10:47:59,721 INFO    MainThread:15924 [wandb_init.py:init():788] sending inform_init request
2025-03-06 10:47:59,917 INFO    MainThread:15924 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-06 10:47:59,917 INFO    MainThread:15924 [wandb_init.py:init():798] backend started and connected
2025-03-06 10:47:59,939 INFO    MainThread:15924 [wandb_init.py:init():891] updated telemetry
2025-03-06 10:47:59,941 INFO    MainThread:15924 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-06 10:48:01,298 INFO    MainThread:15924 [wandb_init.py:init():990] starting run threads in backend
2025-03-06 10:48:01,450 INFO    MainThread:15924 [wandb_run.py:_console_start():2375] atexit reg
2025-03-06 10:48:01,450 INFO    MainThread:15924 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-06 10:48:01,450 INFO    MainThread:15924 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-06 10:48:01,450 INFO    MainThread:15924 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-06 10:48:01,455 INFO    MainThread:15924 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-06 10:48:26,459 INFO    MsgRouterThr:15924 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
